"Node","Name","Id"
0,"> Africa","Africa_in"
1,"> Asia","Asia_in"
2,"> Europe","Europe_in"
3,"> Latin America and the Caribbean","LatinAmericaandtheCaribbean_in"
4,"> North America","NorthAmerica_in"
5,"> Oceania","Oceania_in"
6,"Africa >","Africa_out"
7,"Asia >","Asia_out"
8,"Australia","Australia"
9,"Canada","Canada"
10,"CGIAR","CGIAR"
11,"Europe >","Europe_out"
12,"Germany","Germany"
13,"Latin America and the Caribbean >","LatinAmericaandtheCaribbean_out"
14,"Netherlands","Netherlands"
15,"North America >","NorthAmerica_out"
16,"Oceania >","Oceania_out"
17,"United Kingdom","UnitedKingdom"
18,"United States of America","UnitedStatesofAmerica"
